item,date,details,tag,note
renv,10/25/2019,0.8.0,package,
renv,10/26/2019,0.8.1,package,
renv,10/26/2019,0.8.2,package,
renv,11/11/2019,0.8.3,package,
renv,12/5/2019,0.9.0,package,
renv,12/9/2019,0.9.1,package,
renv,12/9/2019,0.9.2,package,
renv,2/10/2020,0.9.3,package,
renv,5/6/2020,0.10.0,package,
renv,6/26/2020,0.11.0,package,
renv,8/28/2020,0.12.0,package,
renv,11/2/2020,0.12.1,package,
renv,11/5/2020,0.12.2,package,
renv,11/25/2020,0.12.3,package,
renv,1/7/2021,0.12.4,package,
renv,1/9/2021,0.12.5,package,
renv,2/24/2021,0.13.0,package,
renv,3/18/2021,0.13.1,package,
renv,3/30/2021,0.13.2,package,
renv,7/21/2021,0.14.0,package,
renv,1/4/2022,0.15.0,package,
renv,1/13/2022,0.15.1,package,
renv,1/24/2022,0.15.2,package,
renv,2/28/2022,0.15.3,package,
renv,3/3/2022,0.15.4,package,
renv,5/27/2022,0.15.5,package,
renv,9/29/2022,0.16.0,package,
renv,3/2/2023,0.17.0,package,
renv,3/16/2023,0.17.1,package,
renv,3/18/2023,0.17.2,package,
renv,4/6/2023,0.17.3,package,
renv,7/7/2023,1.0.0,package,
renv,8/10/2023,1.0.1,package,
renv,8/15/2023,1.0.2,package,
renv,9/19/2023,1.0.3,package,
renv,2/21/2024,1.0.4,package,
renv,2/29/2024,1.0.5,package,
renv,4/11/2024,1.0.6,package,
renv,4/12/2024,1.0.7,package,
renv,9/20/2024,1.0.8,package,
renv,9/24/2024,1.0.9,package,
renv,10/5/2024,1.0.10,package,
renv,10/12/2024,1.0.11,package,
renv,1/29/2025,1.1.0,package,
renv,2/7/2025,1.1.1,package,
renv,3/3/2025,1.1.2,package,
renv,3/18/2025,1.1.3,package,
packrat,9/3/2014,0.4.1-1,package,
packrat,9/3/2014,0.4.1,package,
packrat,12/16/2014,0.4.2-1,package,
packrat,12/16/2014,0.4.2,package,
packrat,1/29/2015,0.4.3,package,
packrat,6/16/2015,0.4.4,package,
packrat,10/22/2015,0.4.5,package,
packrat,11/5/2015,0.4.6-1,package,
packrat,11/3/2015,0.4.6,package,
packrat,3/28/2016,0.4.7-1,package,
packrat,3/17/2016,0.4.7,package,
packrat,9/7/2016,0.4.8-1,package,
packrat,3/12/2018,0.4.9-1,package,
packrat,4/20/2018,0.4.9-2,package,
packrat,6/1/2018,0.4.9-3,package,
packrat,3/10/2018,0.4.9,package,
packrat,11/14/2018,0.5.0,package,
packrat,3/30/2021,0.6.0,package,
packrat,8/20/2021,0.7.0,package,
packrat,5/26/2022,0.8.0,package,
packrat,6/29/2022,0.8.1,package,
packrat,1/9/2023,0.9.0,package,
packrat,2/27/2023,0.9.1,package,
packrat,9/5/2023,0.9.2,package,
R,6/1/2025,4.5.1  ,,
R,4/1/2025,4.5.0  ,,
R,3/1/2025,4.4.3  ,,
R,11/1/2024,4.4.2  ,,
R,11/1/2024,4.4.2  ,,
R,6/1/2024,4.4.1  ,,
R,4/1/2024,4.4.0  ,,
R,2/1/2024,4.3.3  ,,
R,10/1/2023,4.3.2  ,,
R,6/1/2023,4.3.1  ,,
R,4/1/2023,4.3.0  ,,
R,3/1/2023,4.2.3  ,,
R,10/1/2022,4.2.2  ,,
R,6/1/2022,4.2.1  ,,
R,4/1/2022,4.2.0  ,,
R,3/1/2022,4.1.3  ,,
R,11/1/2021,4.1.2  ,,
R,8/1/2021,4.1.1  ,,
R,5/1/2021,4.1.0  ,,
R,3/1/2021,4.0.5  ,,
R,2/1/2021,4.0.4  ,,
R,10/1/2020,4.0.3  ,,
R,6/1/2020,4.0.2  ,,
R,6/1/2020,4.0.1  ,,
R,4/1/2020,4.0.0  ,,
R,2/1/2020,3.6.3  ,,
R,12/1/2019,3.6.2  ,,
R,7/1/2019,3.6.1  ,,
R,4/1/2019,3.6.0  ,,
R,3/1/2019,3.5.3  ,,
R,12/1/2018,3.5.2  ,,
R,7/1/2018,3.5.1  ,,
R,4/1/2018,3.5.0  ,,
R,3/1/2018,3.4.4  ,,
R,11/1/2017,3.4.3  ,,
R,9/1/2017,3.4.2  ,,
R,6/1/2017,3.4.1  ,,
R,4/1/2017,3.4.0  ,,
R,3/1/2017,3.3.3  ,,
R,10/1/2016,3.3.2  ,,
R,6/1/2016,3.3.1  ,,
R,4/1/2016,3.3.0  ,,
R,4/1/2016,3.2.5  ,,
R,3/1/2016,3.2.4  ,,
R,12/1/2015,3.2.3  ,,
R,8/1/2015,3.2.2  ,,
R,6/1/2015,3.2.1  ,,
R,4/1/2015,3.2.0  ,,
R,3/1/2015,3.1.3  ,,
R,10/1/2014,3.1.2  ,,
R,7/1/2014,3.1.1  ,,
R,4/1/2014,3.1.0  ,,
R,3/1/2014,3.0.3  ,,
R,9/1/2013,3.0.2  ,,
R,5/1/2013,3.0.1  ,,
R,4/1/2013,3.0.0  ,,
R,3/1/2013,2.15.3 ,,
R,10/1/2012,2.15.2 ,,
R,6/1/2012,2.15.1 ,,
R,3/1/2012,2.15.0 ,,
R,2/1/2012,2.14.2 ,,
R,12/1/2011,2.14.1 ,,
R,11/1/2011,2.14.0 ,,
R,9/1/2011,2.13.2 ,,
R,7/1/2011,2.13.1 ,,
R,4/1/2011,2.13.0 ,,
R,2/1/2011,2.12.2 ,,
R,12/1/2010,2.12.1 ,,
R,10/1/2010,2.12.0 ,,
R,5/1/2010,2.11.1 ,,
R,4/1/2010,2.11.0 ,,
R,12/1/2009,2.10.1 ,,
R,10/1/2009,2.10.0 ,,
R,8/1/2009,2.9.2  ,,
R,6/1/2009,2.9.1  ,,
R,4/1/2009,2.9.0  ,,
R,12/1/2008,2.8.1  ,,
R,10/1/2008,2.8.0  ,,
R,8/1/2008,2.7.2  ,,
R,6/1/2008,2.7.1  ,,
R,4/1/2008,2.7.0  ,,
R,2/1/2008,2.6.2  ,,
R,11/1/2007,2.6.1  ,,
R,10/1/2007,2.6.0  ,,
R,7/1/2007,2.5.1  ,,
R,4/1/2007,2.5.0  ,,
R,12/1/2006,2.4.1  ,,
R,10/1/2006,2.4.0  ,,
R,6/1/2006,2.3.1  ,,
R,4/1/2006,2.3.0  ,,
R,12/1/2005,2.2.1  ,,
R,10/1/2005,2.2.0  ,,
R,6/1/2005,2.1.1  ,,
R,4/1/2005,2.1.0  ,,
R,11/1/2004,2.0.1  ,,
R,10/1/2004,2.0.0  ,,
R,6/1/2004,1.9.1  ,,
R,11/1/2003,1.8.1  ,,
R,6/1/2003,1.7.1  ,,
R,1/1/2003,1.6.2,,
glue,4/18/2017,1.0.0,package,
glue,6/13/2017,1.1.0,package,
glue,6/21/2017,1.1.1,package,
glue,10/29/2017,1.2.0,package,
glue,7/17/2018,1.3.0,package,
glue,3/12/2019,1.3.1,package,
glue,3/12/2020,1.3.2,package,
glue,4/3/2020,1.4.0,package,
glue,5/13/2020,1.4.1,package,
glue,8/27/2020,1.4.2,package,
glue,11/7/2021,1.5.0,package,
glue,11/30/2021,1.5.1,package,
glue,12/17/2021,1.6.0,package,
glue,1/23/2022,1.6.1,package,
glue,2/24/2022,1.6.2,package,
glue,1/10/2024,1.7.0,package,
